bvn,name,gender,dateOfBirth,address,phone,email,totalNoOfLoans,totalNoOfInstitutions,totalNoOfActiveLoans,totalNoOfClosedLoans,totalBorrowed,totalOutstanding,totalOverdue,loanPerformance
14095461676,Amina Lawal,Female,31/12/1966,"615 Anthony Mission, Kano",0803738900084,dnoble@example.com,"[{""""source"""": """"CRC"""", """"value"""": 5}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 6}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 4}]","[{""""source"""": """"CRC"""", """"value"""": 3}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 2}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 2}]","[{""""source"""": """"CRC"""", """"value"""": 4}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 5}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 5}]","[{""""source"""": """"CRC"""", """"value"""": 9}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 11}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 11}]","[{""""source"""": """"CRC"""", """"value"""": 8682922}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 8230886}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 7987198}]","[{""""source"""": """"CRC"""", """"value"""": 2705081}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 2856849}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 3043654}]","[{""""source"""": """"CRC"""", """"value"""": 0}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 0}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 0}]","[{""""source"""": """"CRC"""", """"value"""": [{""""loanProvider"""": """"Lowery, Hanson and Schroeder"""", """"loanAmount"""": 1004216, """"performanceStatus"""": """"Non-Performing""""}, {""""loanProvider"""": """"Todd-Brandt"""", """"loanAmount"""": 2760375, """"performanceStatus"""": """"Non-Performing""""}, {""""loanProvider"""": """"Rodgers, Holt and Brooks"""", """"loanAmount"""": 657355, """"performanceStatus"""": """"Performing""""}]}]"
45556906312,Habiba Shittu,Female,05/04/1983,"354 Travis Vista, Kogi",0703375930596,joshuaknight@example.com,"[{""""source"""": """"CRC"""", """"value"""": 11}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 11}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 11}]","[{""""source"""": """"CRC"""", """"value"""": 9}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 6}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 9}]","[{""""source"""": """"CRC"""", """"value"""": 2}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 1}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 1}]","[{""""source"""": """"CRC"""", """"value"""": 2}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 2}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 2}]","[{""""source"""": """"CRC"""", """"value"""": 3856088}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 4466450}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 3775143}]","[{""""source"""": """"CRC"""", """"value"""": 6674310}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 6742905}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 8334426}]","[{""""source"""": """"CRC"""", """"value"""": 314830}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 291868}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 372029}]","[{""""source"""": """"CRC"""", """"value"""": [{""""loanProvider"""": """"Meyer Ltd"""", """"loanAmount"""": 860591, """"performanceStatus"""": """"Performing""""}, {""""loanProvider"""": """"Torres-Ramirez"""", """"loanAmount"""": 2443283, """"performanceStatus"""": """"Performing""""}, {""""loanProvider"""": """"Nelson-Austin"""", """"loanAmount"""": 1979961, """"performanceStatus"""": """"Non-Performing""""}]}]"
99287014642,Simisola Mohammed,Female,13/07/1991,"264 Laura Cove Suite 031, Kwara",0706715939181,andrewfreeman@example.com,"[{""""source"""": """"CRC"""", """"value"""": 26}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 28}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 22}]","[{""""source"""": """"CRC"""", """"value"""": 4}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 4}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 5}]","[{""""source"""": """"CRC"""", """"value"""": 6}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 6}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 6}]","[{""""source"""": """"CRC"""", """"value"""": 4}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 3}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 3}]","[{""""source"""": """"CRC"""", """"value"""": 8011131}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 6986299}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 8118330}]","[{""""source"""": """"CRC"""", """"value"""": 8343601}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 6457916}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 6998361}]","[{""""source"""": """"CRC"""", """"value"""": 0}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 0}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 0}]","[{""""source"""": """"CRC"""", """"value"""": [{""""loanProvider"""": """"Parker-Martin"""", """"loanAmount"""": 171205, """"performanceStatus"""": """"Performing""""}]}]"
82507760856,Halima Onuoha,Female,27/11/1992,"7903 Cordova Well Apt. 444, Abuja FCT",0813953010625,bonniedavis@example.net,"[{""""source"""": """"CRC"""", """"value"""": 13}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 18}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 13}]","[{""""source"""": """"CRC"""", """"value"""": 9}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 6}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 7}]","[{""""source"""": """"CRC"""", """"value"""": 3}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 4}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 3}]","[{""""source"""": """"CRC"""", """"value"""": 9}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 9}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 7}]","[{""""source"""": """"CRC"""", """"value"""": 14823381}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 13589399}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 13323617}]","[{""""source"""": """"CRC"""", """"value"""": 6956276}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 7011422}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 7490130}]","[{""""source"""": """"CRC"""", """"value"""": 0}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 0}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 0}]","[{""""source"""": """"CRC"""", """"value"""": [{""""loanProvider"""": """"Smith LLC"""", """"loanAmount"""": 3843203, """"performanceStatus"""": """"Performing""""}, {""""loanProvider"""": """"Diaz-Merritt"""", """"loanAmount"""": 4562484, """"performanceStatus"""": """"Non-Performing""""}, {""""loanProvider"""": """"Gonzalez-Garcia"""", """"loanAmount"""": 4406661, """"performanceStatus"""": """"Performing""""}]}]"
71195797656,Usman Popoola,Male,31/07/1987,"5049 Rice Fall, Ekiti",0810108015886,hayescurtis@example.org,"[{""""source"""": """"CRC"""", """"value"""": 27}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 24}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 20}]","[{""""source"""": """"CRC"""", """"value"""": 2}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 3}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 3}]","[{""""source"""": """"CRC"""", """"value"""": 8}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 7}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 7}]","[{""""source"""": """"CRC"""", """"value"""": 10}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 14}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 11}]","[{""""source"""": """"CRC"""", """"value"""": 3686219}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 3506961}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 3835619}]","[{""""source"""": """"CRC"""", """"value"""": 7431359}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 6941943}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 8337092}]","[{""""source"""": """"CRC"""", """"value"""": 0}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 0}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 0}]","[{""""source"""": """"CRC"""", """"value"""": [{""""loanProvider"""": """"Parsons-Barrett"""", """"loanAmount"""": 4673769, """"performanceStatus"""": """"Non-Performing""""}, {""""loanProvider"""": """"Stephens and Sons"""", """"loanAmount"""": 3443360, """"performanceStatus"""": """"Performing""""}, {""""loanProvider"""": """"Harper-Bailey"""", """"loanAmount"""": 3697031, """"performanceStatus"""": """"Performing""""}, {""""loanProvider"""": """"Harrington-Scott"""", """"loanAmount"""": 1305728, """"performanceStatus"""": """"Non-Performing""""}]}]"
64648207131,Funke Lawal,Female,02/08/1964,"38145 Terri Parkway Apt. 026, Enugu",0803913965739,cmarshall@example.com,"[{""""source"""": """"CRC"""", """"value"""": 5}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 5}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 5}]","[{""""source"""": """"CRC"""", """"value"""": 5}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 6}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 5}]","[{""""source"""": """"CRC"""", """"value"""": 6}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 8}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 7}]","[{""""source"""": """"CRC"""", """"value"""": 10}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 9}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 11}]","[{""""source"""": """"CRC"""", """"value"""": 9124767}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 10612403}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 10071932}]","[{""""source"""": """"CRC"""", """"value"""": 11333247}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 10936992}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 11120449}]","[{""""source"""": """"CRC"""", """"value"""": 398769}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 359015}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 493257}]","[{""""source"""": """"CRC"""", """"value"""": [{""""loanProvider"""": """"King, Snow and Romero"""", """"loanAmount"""": 3813340, """"performanceStatus"""": """"Non-Performing""""}, {""""loanProvider"""": """"Jones LLC"""", """"loanAmount"""": 2931565, """"performanceStatus"""": """"Performing""""}, {""""loanProvider"""": """"Pierce-Lee"""", """"loanAmount"""": 2895208, """"performanceStatus"""": """"Performing""""}, {""""loanProvider"""": """"Smith, Ward and Lamb"""", """"loanAmount"""": 4493290, """"performanceStatus"""": """"Performing""""}, {""""loanProvider"""": """"Leonard-Davis"""", """"loanAmount"""": 1248156, """"performanceStatus"""": """"Non-Performing""""}]}]"
11151109201,Omolara Lawal,Female,04/11/2001,"647 Arias Overpass, Plateau",0903564828557,yatkins@example.com,"[{""""source"""": """"CRC"""", """"value"""": 9}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 8}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 7}]","[{""""source"""": """"CRC"""", """"value"""": 0}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 1}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 1}]","[{""""source"""": """"CRC"""", """"value"""": 4}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 4}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 4}]","[{""""source"""": """"CRC"""", """"value"""": 1}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 1}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 1}]","[{""""source"""": """"CRC"""", """"value"""": 3621371}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 3959119}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 3136989}]","[{""""source"""": """"CRC"""", """"value"""": 1455510}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 1625677}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 1961058}]","[{""""source"""": """"CRC"""", """"value"""": 0}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 0}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 0}]","[{""""source"""": """"CRC"""", """"value"""": [{""""loanProvider"""": """"Smith, Newton and Farmer"""", """"loanAmount"""": 92638, """"performanceStatus"""": """"Non-Performing""""}]}]"
53077662712,Simisola Eze,Female,04/02/1982,"9245 Williams Circle, Benue",0706192735708,qcantrell@example.org,"[{""""source"""": """"CRC"""", """"value"""": 7}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 9}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 10}]","[{""""source"""": """"CRC"""", """"value"""": 4}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 5}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 5}]","[{""""source"""": """"CRC"""", """"value"""": 5}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 4}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 4}]","[{""""source"""": """"CRC"""", """"value"""": 9}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 8}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 10}]","[{""""source"""": """"CRC"""", """"value"""": 12483475}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 12770925}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 12606873}]","[{""""source"""": """"CRC"""", """"value"""": 7631287}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 6582316}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 7167309}]","[{""""source"""": """"CRC"""", """"value"""": 0}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 0}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 0}]","[{""""source"""": """"CRC"""", """"value"""": [{""""loanProvider"""": """"Henderson-Moore"""", """"loanAmount"""": 4474371, """"performanceStatus"""": """"Performing""""}, {""""loanProvider"""": """"Patton, Burnett and Acosta"""", """"loanAmount"""": 2421581, """"performanceStatus"""": """"Performing""""}, {""""loanProvider"""": """"Mitchell-Gonzales"""", """"loanAmount"""": 4795825, """"performanceStatus"""": """"Performing""""}]}]"
96669626785,Yetunde Obi,Female,27/10/1961,"044 Green Cliffs Apt. 088, Kogi",0807592865513,jeffrey46@example.com,"[{""""source"""": """"CRC"""", """"value"""": 11}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 9}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 12}]","[{""""source"""": """"CRC"""", """"value"""": 0}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 0}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 1}]","[{""""source"""": """"CRC"""", """"value"""": 8}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 8}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 9}]","[{""""source"""": """"CRC"""", """"value"""": 5}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 5}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 6}]","[{""""source"""": """"CRC"""", """"value"""": 1218430}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 1323162}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 1175930}]","[{""""source"""": """"CRC"""", """"value"""": 5956221}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 6439262}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 6094734}]","[{""""source"""": """"CRC"""", """"value"""": 200545}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 213368}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 206750}]","[{""""source"""": """"CRC"""", """"value"""": [{""""loanProvider"""": """"Suarez-English"""", """"loanAmount"""": 2886875, """"performanceStatus"""": """"Performing""""}, {""""loanProvider"""": """"Franklin Inc"""", """"loanAmount"""": 2923161, """"performanceStatus"""": """"Performing""""}, {""""loanProvider"""": """"Doyle-Miles"""", """"loanAmount"""": 1888471, """"performanceStatus"""": """"Performing""""}, {""""loanProvider"""": """"Grimes LLC"""", """"loanAmount"""": 1219554, """"performanceStatus"""": """"Non-Performing""""}, {""""loanProvider"""": """"Wright-Pugh"""", """"loanAmount"""": 3745714, """"performanceStatus"""": """"Non-Performing""""}]}]"
63531466505,Nnamdi Adewale,Male,23/04/1981,"50470 Dean Fall, Imo",0909432927762,mindy80@example.org,"[{""""source"""": """"CRC"""", """"value"""": 5}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 5}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 5}]","[{""""source"""": """"CRC"""", """"value"""": 8}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 8}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 10}]","[{""""source"""": """"CRC"""", """"value"""": 0}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 0}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 0}]","[{""""source"""": """"CRC"""", """"value"""": 0}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 1}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 1}]","[{""""source"""": """"CRC"""", """"value"""": 5936585}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 5656221}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 5566551}]","[{""""source"""": """"CRC"""", """"value"""": 23293}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 19959}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 22396}]","[{""""source"""": """"CRC"""", """"value"""": 165469}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 178041}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 233201}]","[{""""source"""": """"CRC"""", """"value"""": [{""""loanProvider"""": """"Pierce LLC"""", """"loanAmount"""": 1971033, """"performanceStatus"""": """"Performing""""}, {""""loanProvider"""": """"Spence Inc"""", """"loanAmount"""": 4806592, """"performanceStatus"""": """"Performing""""}, {""""loanProvider"""": """"Foster PLC"""", """"loanAmount"""": 460260, """"performanceStatus"""": """"Non-Performing""""}]}]"
33475961158,Emeka Danjuma,Male,18/10/1971,"545 Debra Vista, Jigawa",0803113976537,gvillarreal@example.com,"[{""""source"""": """"CRC"""", """"value"""": 28}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 23}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 26}]","[{""""source"""": """"CRC"""", """"value"""": 6}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 5}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 6}]","[{""""source"""": """"CRC"""", """"value"""": 6}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 7}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 6}]","[{""""source"""": """"CRC"""", """"value"""": 14}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 10}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 12}]","[{""""source"""": """"CRC"""", """"value"""": 12117775}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 8442565}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 11875143}]","[{""""source"""": """"CRC"""", """"value"""": 5625637}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 4224471}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 5706675}]","[{""""source"""": """"CRC"""", """"value"""": 0}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 0}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 0}]","[{""""source"""": """"CRC"""", """"value"""": [{""""loanProvider"""": """"Hunt Group"""", """"loanAmount"""": 4041360, """"performanceStatus"""": """"Performing""""}, {""""loanProvider"""": """"Whitehead-Miller"""", """"loanAmount"""": 2329713, """"performanceStatus"""": """"Performing""""}, {""""loanProvider"""": """"Oliver-Gregory"""", """"loanAmount"""": 1572166, """"performanceStatus"""": """"Performing""""}, {""""loanProvider"""": """"Harris, Hall and Freeman"""", """"loanAmount"""": 3019096, """"performanceStatus"""": """"Performing""""}, {""""loanProvider"""": """"Kelly Inc"""", """"loanAmount"""": 4572877, """"performanceStatus"""": """"Non-Performing""""}]}]"
13815364598,Funke Uche,Female,14/10/1991,"164 Alvarez Groves Suite 491, Bauchi",0909202604164,benjamin49@example.net,"[{""""source"""": """"CRC"""", """"value"""": 8}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 5}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 7}]","[{""""source"""": """"CRC"""", """"value"""": 9}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 7}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 8}]","[{""""source"""": """"CRC"""", """"value"""": 0}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 1}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 0}]","[{""""source"""": """"CRC"""", """"value"""": 7}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 7}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 8}]","[{""""source"""": """"CRC"""", """"value"""": 15995241}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 13458527}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 16587934}]","[{""""source"""": """"CRC"""", """"value"""": 2960141}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 2094915}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 2785008}]","[{""""source"""": """"CRC"""", """"value"""": 0}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 0}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 0}]","[{""""source"""": """"CRC"""", """"value"""": [{""""loanProvider"""": """"Harris, Lara and Steele"""", """"loanAmount"""": 3370400, """"performanceStatus"""": """"Performing""""}, {""""loanProvider"""": """"Brown Group"""", """"loanAmount"""": 4768299, """"performanceStatus"""": """"Non-Performing""""}, {""""loanProvider"""": """"Douglas-Little"""", """"loanAmount"""": 2957274, """"performanceStatus"""": """"Non-Performing""""}]}]"
38667313959,Musa Bello,Male,01/05/2002,"965 Michael Neck Apt. 621, Kano",0813428497333,tali@example.net,"[{""""source"""": """"CRC"""", """"value"""": 20}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 17}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 15}]","[{""""source"""": """"CRC"""", """"value"""": 5}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 4}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 6}]","[{""""source"""": """"CRC"""", """"value"""": 7}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 8}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 8}]","[{""""source"""": """"CRC"""", """"value"""": 12}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 10}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 12}]","[{""""source"""": """"CRC"""", """"value"""": 7099072}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 5888358}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 6371156}]","[{""""source"""": """"CRC"""", """"value"""": 8842588}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 8150988}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 7832062}]","[{""""source"""": """"CRC"""", """"value"""": 354932}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 483550}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 471988}]","[{""""source"""": """"CRC"""", """"value"""": [{""""loanProvider"""": """"Rivera, Gonzalez and Goodwin"""", """"loanAmount"""": 3421549, """"performanceStatus"""": """"Performing""""}, {""""loanProvider"""": """"Harper, Hurley and Martinez"""", """"loanAmount"""": 2683061, """"performanceStatus"""": """"Performing""""}, {""""loanProvider"""": """"Serrano-Hoffman"""", """"loanAmount"""": 2359904, """"performanceStatus"""": """"Non-Performing""""}]}]"
97623135987,Chinedu Chukwu,Male,08/05/1999,"0097 Mccarty Bridge Apt. 765, Yobe",0810194992021,moorebrett@example.org,"[{""""source"""": """"CRC"""", """"value"""": 8}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 6}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 8}]","[{""""source"""": """"CRC"""", """"value"""": 4}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 5}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 6}]","[{""""source"""": """"CRC"""", """"value"""": 7}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 9}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 7}]","[{""""source"""": """"CRC"""", """"value"""": 12}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 9}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 13}]","[{""""source"""": """"CRC"""", """"value"""": 11533547}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 10241674}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 11358364}]","[{""""source"""": """"CRC"""", """"value"""": 3293365}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 3895229}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 2861924}]","[{""""source"""": """"CRC"""", """"value"""": 0}, {""""source"""": """"FIRST_CENTRAL"""", """"value"""": 0}, {""""source"""": """"CREDIT_REGISTRY"""", """"value"""": 0}]","[{""""source"""": """"CRC"""", """"value"""": [{""""loanProvider"""": """"Wright, Barnes and Russell"""", """"loanAmount"""": 2844796, """"performanceStatus"""": """"Performing""""}, {""""loanProvider"""": """"Miller-Glenn"""", """"loanAmount"""": 1508167, """"performanceStatus"""": """"Performing""""}, {""""loanProvider"""": """"Barr and Sons"""", """"loanAmount"""": 348383, """"performanceStatus"""": """"Performing""""}]}]"
